ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (November 2019)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2019-11-01,01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,02,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,03,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
,04,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5
,05,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5
,06,4,5,5,5,5,4,5,4,4,5,5,5,5,4,5,4
,07,4,4,5,4,4,4,5,4,4,4,4,4,5,4,5,4
,08,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,09,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4
,10,4,4,5,4,4,4,4,5,5,4,5,4,5,5,5,4
,11,4,5,5,4,4,4,5,5,5,4,5,4,5,5,5,4
,12,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,4
,13,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4
,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,15,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5
,16,5,5,5,5,5,5,5,6,5,6,5,5,6,5,5,5
,17,5,6,6,5,5,5,6,6,6,7,5,5,6,6,6,6
,18,6,6,6*,6,6,5,6,5,6,8,6,6,6,6,6,6
,19,6,5,6*,6,6,6,6,5,6,6,6,6,6,6,6,6
,20,5,5,5,5,5,5,5,6,6,5,6,5,5,5,6,5
,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,22,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5
,23,4,4,4,4,4,4,4,5,5,4,5,4,4,5,5,5
,24,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
,Daily Max,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6
2019-11-02,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,04,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,05,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,06,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,07,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,08,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
